Unnamed: 0,Unnamed: 1,Unnamed: 2,Owners of new LLCs,Unnamed: 4,Unnamed: 5,Sole proprietors,Unnamed: 7,Unnamed: 8,Directors of new LCCS,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Owners of new LLCs.1,Unnamed: 15,Sole proprietors.1,Unnamed: 17,Directors of new LCCs,Unnamed: 19
Country,Income group,Year,Number of female business owners,Number of male business owners,Total number of business owners,Number of female sole proprietors,Number of male sole proprietors,Total number of sole proprietors,Number of female directors,Number of male directors,Total number of directors,,,Share of female business owners,Share of male business owners,Share of female sole proprietors,Share of male sole proprietors,Share of female directors,Share of male directors
Afghanistan,Low income,,,,,,,,,,,,Afghanistan,,,,,,
Afghanistan,Low income,2014,65,5043,5108,14,2117,2131,34,3414,3448,,Afghanistan2014,0.012725137039937353,0.9872748629600626,0.00656968559361802,0.993430314406382,0.009860788863109048,0.990139211136891
Afghanistan,Low income,2015,45,4704,4749,26,3110,3136,11,2398,2409,,Afghanistan2015,0.009475679090334808,0.9905243209096652,0.008290816326530613,0.9917091836734694,0.0045662100456621,0.9954337899543378
Afghanistan,Low income,2016,65,5036,5101,33,4403,4436,32,2473,2505,,Afghanistan2016,0.012742599490296021,0.987257400509704,0.007439134355275023,0.992560865644725,0.01277445109780439,0.9872255489021956
Afghanistan,Low income,2017,88,6047,6135,74,4343,4417,34,2677,2711,,Afghanistan2017,0.014343928280358598,0.9856560717196414,0.016753452569617387,0.9832465474303826,0.012541497602360752,0.9874585023976392
Afghanistan,Low income,2018,177,8482,8659,149,5103,5252,93,5057,5150,,Afghanistan2018,0.02044115948723871,0.9795588405127613,0.028370144706778372,0.9716298552932217,0.018058252427184465,0.9819417475728155
Albania,Upper middle income,,,,,,,,,,,,Albania,,,,,,
Albania,Upper middle income,2014,401,1818,2219,4984,8812,13796,344,1779,2123,,Albania2014,0.18071203244704823,0.8192879675529517,0.3612641345317483,0.6387358654682517,0.16203485633537448,0.8379651436646255
Albania,Upper middle income,2015,457,2159,2616,13317,23649,36966,451,1997,2448,,Albania2015,0.17469418960244648,0.8253058103975535,0.36024995942217175,0.6397500405778282,0.18423202614379086,0.8157679738562091
Albania,Upper middle income,2016,505,2174,2679,5742,12258,18000,495,2113,2608,,Albania2016,0.18850317282568121,0.8114968271743188,0.319,0.681,0.1898006134969325,0.8101993865030674
Albania,Upper middle income,2017,642,2343,2985,5800,12243,18043,543,2410,2953,,Albania2017,0.2150753768844221,0.7849246231155779,0.32145430360804744,0.6785456963919526,0.18388079918726719,0.8161192008127328
Albania,Upper middle income,2018,562,2428,2990,5244,11605,16849,645,2610,3255,,Albania2018,0.1879598662207358,0.8120401337792642,0.3112350881357944,0.6887649118642056,0.19815668202764977,0.8018433179723502
Algeria,Upper middle income,,,,,,,,,,,,Algeria,,,,,,
Algeria,Upper middle income,2014,522,7904,8426,572,8923,9495,1094,16827,17921,,Algeria2014,0.061951103726560645,0.9380488962734393,0.060242232754081096,0.9397577672459189,0.06104570057474471,0.9389542994252553
Algeria,Upper middle income,2015,544,7549,8093,538,7391,7929,1082,14940,16022,,Algeria2015,0.06721858396144817,0.9327814160385518,0.06785218817000883,0.9321478118299912,0.06753214330295844,0.9324678566970416
Algeria,Upper middle income,2016,637,8204,8841,536,7392,7928,1173,15596,16769,,Algeria2016,0.07205067300079177,0.9279493269992082,0.06760847628657922,0.9323915237134208,0.06995050390601705,0.9300494960939829
Algeria,Upper middle income,2017,658,9227,9885,588,8470,9058,1246,17697,18943,,Algeria2017,0.06656550328780982,0.9334344967121901,0.06491499227202473,0.9350850077279753,0.0657762761970121,0.9342237238029879
Algeria,Upper middle income,2018,656,8816,9472,551,7769,8320,1207,16585,17792,,Algeria2018,0.06925675675675676,0.9307432432432432,0.06622596153846154,0.9337740384615385,0.06783947841726619,0.9321605215827338
Austria,High income,,,,,,,,,,,,Austria,,,,,,
Austria,High income,2014,,,,17910.834,13347.166000000001,31258,,,,,Austria2014,,,0.573,0.42700000000000005,,
Austria,High income,2015,,,,19446.548,13909.452000000001,33356,,,,,Austria2015,,,0.583,0.41700000000000004,,
Austria,High income,2016,,,,21284.399999999998,14189.600000000002,35474,,,,,Austria2016,,,0.6,0.4000000000000001,,
Austria,High income,2017,,,,20275.515,14383.485,34659,,,,,Austria2017,,,0.585,0.41500000000000004,,
Austria,High income,2018,,,,19195.274999999998,13729.725000000002,32925,,,,,Austria2018,,,0.583,0.4170000000000001,,
Azerbaijan,Upper middle income,,,,,,,,,,,,Azerbaijan,,,,,,
Azerbaijan,Upper middle income,2014,828,5963,6791,19373,55754,75127,691,6094,6785,,Azerbaijan2014,0.1219260786334855,0.8780739213665145,0.2578700067885048,0.7421299932114952,0.10184229918938836,0.8981577008106116
Azerbaijan,Upper middle income,2015,786,4422,5208,19456,51581,71037,702,4505,5207,,Azerbaijan2015,0.15092165898617513,0.8490783410138248,0.2738854399819812,0.7261145600180188,0.1348185135394661,0.8651814864605339
Azerbaijan,Upper middle income,2016,970,6249,7219,36234,101717,137951,806,6406,7212,,Azerbaijan2016,0.13436764094749964,0.8656323590525004,0.2626584801849932,0.7373415198150067,0.1117581808097615,0.8882418191902385
Azerbaijan,Upper middle income,2017,1991,10780,12771,36578,100552,137130,1380,9678,11058,,Azerbaijan2017,0.15590008613264428,0.8440999138673557,0.2667395901699118,0.7332604098300882,0.12479652740097667,0.8752034725990233
Azerbaijan,Upper middle income,2018,2225,11693,13918,18520,56741,75261,1291,10320,11611,,Azerbaijan2018,0.1598649231211381,0.8401350768788619,0.24607698542405762,0.7539230145759424,0.11118766686762553,0.8888123331323745
Bahrain,High income,,,,,,,,,,,,Bahrain,,,,,,
Bahrain,High income,2014,714,2446,3160,,,,484,2289,2773,,Bahrain2014,0.2259493670886076,0.7740506329113924,,,0.17454020915975477,0.8254597908402452
Bahrain,High income,2015,834,2488,3322,,,,710,2384,3094,,Bahrain2015,0.25105358217941,0.74894641782059,,,0.22947640594699417,0.7705235940530059
Bahrain,High income,2016,2215,6808,9023,,,,1745,6189,7934,,Bahrain2016,0.24548376371495068,0.7545162362850493,,,0.2199395008822788,0.7800604991177212
Bahrain,High income,2017,2087,7352,9439,,,,1653,6548,8201,,Bahrain2017,0.2211039305011124,0.7788960694988876,,,0.20156078527008903,0.798439214729911
Bahrain,High income,2018,1799,6574,8373,,,,1416,5969,7385,,Bahrain2018,0.2148572793502926,0.7851427206497074,,,0.1917400135409614,0.8082599864590386
Belarus,Upper middle income,,,,,,,,,,,,Belarus,,,,,,
Belarus,Upper middle income,2014,3807,11175,14982,15920,34081,50001,1324,4815,6139,,Belarus2014,0.2541049259110933,0.7458950740889067,0.31839363212735744,0.6816063678726425,0.21567030460987133,0.7843296953901286
Belarus,Upper middle income,2015,3514,8913,12427,13631,28142,41773,1206,3874,5080,,Belarus2015,0.28277138488774445,0.7172286151122556,0.3263112536806071,0.6736887463193929,0.2374015748031496,0.7625984251968504
Belarus,Upper middle income,2016,3204,8704,11908,12225,21970,34195,1475,4643,6118,,Belarus2016,0.2690628149143433,0.7309371850856567,0.35750840766193887,0.6424915923380611,0.24109186008499509,0.7589081399150049
Belarus,Upper middle income,2017,3071,8863,11934,11711,20593,32304,1631,5029,6660,,Belarus2017,0.2573319926261103,0.7426680073738897,0.3625247647350173,0.6374752352649826,0.24489489489489488,0.7551051051051051
Belarus,Upper middle income,2018,3238,9801,13039,12325,22828,35153,1654,5220,6874,,Belarus2018,0.24833192729503797,0.751668072704962,0.35061018974198505,0.649389810258015,0.2406168169915624,0.7593831830084375
Benin,Low income,,,,,,,,,,,,Benin,,,,,,
Benin,Low income,2014,385,2142,2527,1548,5617,7165,,,,,Benin2014,0.1523545706371191,0.8476454293628809,0.21605024424284716,0.7839497557571529,,
Benin,Low income,2015,517,3062,3579,2404,8224,10628,,,,,Benin2015,0.14445375803297011,0.8555462419670299,0.22619495671810314,0.7738050432818969,,
Benin,Low income,2016,676,3064,3740,3201,9758,12959,,,,,Benin2016,0.18074866310160428,0.8192513368983957,0.24700980013889962,0.7529901998611004,,
Benin,Low income,2017,709,2819,3528,4406,10557,14963,,,,,Benin2017,0.20096371882086167,0.7990362811791383,0.29445966717904165,0.7055403328209584,,
Benin,Low income,2018,640,2701,3341,6091,14273,20364,,,,,Benin2018,0.19155941334929663,0.8084405866507034,0.29910626595953643,0.7008937340404635,,
Bhutan,Lower middle income,,,,,,,,,,,,Bhutan,,,,,,
Bhutan,Lower middle income,2014,14,68,82,,,,14,88,102,,Bhutan2014,0.17073170731707318,0.8292682926829268,,,0.13725490196078433,0.8627450980392157
Bhutan,Lower middle income,2015,33,67,100,,,,40,124,164,,Bhutan2015,0.33,0.67,,,0.24390243902439024,0.7560975609756098
Bhutan,Lower middle income,2016,35,84,119,,,,51,123,174,,Bhutan2016,0.29411764705882354,0.7058823529411765,,,0.29310344827586204,0.7068965517241379
Bhutan,Lower middle income,2017,58,118,176,,,,71,168,239,,Bhutan2017,0.32954545454545453,0.6704545454545454,,,0.29707112970711297,0.702928870292887
Bhutan,Lower middle income,2018,37,74,111,,,,45,127,172,,Bhutan2018,0.3333333333333333,0.6666666666666666,,,0.2616279069767442,0.7383720930232558
Brunei Darussalam,High income,,,,,,,,,,,,Brunei Darussalam,,,,,,
Brunei Darussalam,High income,2014,,,,,,,,,,,Brunei Darussalam2014,,,,,,
Brunei Darussalam,High income,2015,379,962,1341,,,,424,1012,1436,,Brunei Darussalam2015,0.2826249067859806,0.7173750932140194,,,0.29526462395543174,0.7047353760445683
Brunei Darussalam,High income,2016,459,1255,1714,,,,520,1363,1883,,Brunei Darussalam2016,0.2677946324387398,0.7322053675612602,,,0.27615507169410514,0.7238449283058949
Brunei Darussalam,High income,2017,479,1229,1708,,,,616,1398,2014,,Brunei Darussalam2017,0.28044496487119436,0.7195550351288056,,,0.3058589870903674,0.6941410129096326
Brunei Darussalam,High income,2018,510,1129,1639,,,,608,1118,1726,,Brunei Darussalam2018,0.3111653447223917,0.6888346552776083,,,0.3522595596755504,0.6477404403244496
Cambodia,Lower middle income,,,,,,,,,,,,Cambodia,,,,,,
Cambodia,Lower middle income,2014,,,,,,,,,,,Cambodia2014,,,,,,
Cambodia,Lower middle income,2015,,,,,,,,,,,Cambodia2015,,,,,,
Cambodia,Lower middle income,2016,6556,18558,25114,,,,6756,22476,29232,,Cambodia2016,0.2610496137612487,0.7389503862387513,,,0.23111658456486042,0.7688834154351396
Cambodia,Lower middle income,2017,2803,8435,11238,,,,2924,9471,12395,,Cambodia2017,0.24942160526784124,0.7505783947321587,,,0.23590157321500604,0.764098426784994
Cambodia,Lower middle income,2018,3247,10507,13754,,,,3320,11410,14730,,Cambodia2018,0.23607677766467935,0.7639232223353206,,,0.22539035980991173,0.7746096401900883
Central African Republic,Low income,,,,,,,,,,,,Central African Republic,,,,,,
Central African Republic,Low income,2014,,,,83,256,339,13,49,62,,Central African Republic2014,,,0.2448377581120944,0.7551622418879056,,
Central African Republic,Low income,2015,,,,106,406,512,13,83,96,,Central African Republic2015,,,0.20703125,0.79296875,,
Central African Republic,Low income,2016,,,,156,555,711,15,137,152,,Central African Republic2016,,,0.21940928270042195,0.7805907172995781,,
Central African Republic,Low income,2017,,,,209,735,944,16,137,153,,Central African Republic2017,,,0.22139830508474576,0.7786016949152542,,
Central African Republic,Low income,2018,,,,253,852,1105,39,170,209,,Central African Republic2018,,,0.22895927601809954,0.7710407239819005,,
Chile,High income,,,,,,,,,,,,Chile,,,,,,
Chile,High income,2014,25570,54787,80357,7121,16931,24052,,,,,Chile2014,0.31820501014224023,0.6817949898577598,0.2960668551471811,0.7039331448528189,,
Chile,High income,2015,30782,65839,96621,7718,17529,25247,,,,,Chile2015,0.31858498670061375,0.6814150132993863,0.3056996870915356,0.6943003129084644,,
Chile,High income,2016,36029,75892,111921,8543,18635,27178,,,,,Chile2016,0.3219145647376274,0.6780854352623725,0.3143351239973508,0.6856648760026492,,
Chile,High income,2017,41761,84376,126137,9129,18758,27887,,,,,Chile2017,0.3310765279022016,0.6689234720977985,0.3273568329329078,0.6726431670670922,,
Chile,High income,2018,48542,95444,143986,9691,18816,28507,,,,,Chile2018,0.3371299987498785,0.6628700012501215,0.3399515908373382,0.6600484091626618,,
Cote d'Ivoire,Lower middle income,,,,,,,,,,,,Cote d'Ivoire,,,,,,
Cote d'Ivoire,Lower middle income,2014,1525,6509,8034,678,1840,2518,678,3342,4020,,Cote d'Ivoire2014,0.1898182723425442,0.8101817276574558,0.2692613185067514,0.7307386814932486,0.16865671641791044,0.8313432835820895
Cote d'Ivoire,Lower middle income,2015,1181,5595,6776,894,2443,3337,972,5289,6261,,Cote d'Ivoire2015,0.17429161747343566,0.8257083825265643,0.267905304165418,0.732094695834582,0.1552467656923814,0.8447532343076186
Cote d'Ivoire,Lower middle income,2016,2871,11402,14273,1049,2721,3770,1454,7107,8561,,Cote d'Ivoire2016,0.20114902263014084,0.7988509773698592,0.2782493368700265,0.7217506631299735,0.16983997196589184,0.8301600280341082
Cote d'Ivoire,Lower middle income,2017,2505,11296,13801,817,2518,3335,1352,7278,8630,,Cote d'Ivoire2017,0.1815085863343236,0.8184914136656763,0.2449775112443778,0.7550224887556222,0.15666280417149478,0.8433371958285052
Cote d'Ivoire,Lower middle income,2018,3773,13581,17354,1069,3062,4131,2117,8944,11061,,Cote d'Ivoire2018,0.21741385271407168,0.7825861472859283,0.2587751149842653,0.7412248850157347,0.19139318325648674,0.8086068167435132
Croatia,High income,,,,,,,,,,,,Croatia,,,,,,
Croatia,High income,2014,,,,25774,53657,79431,,,,,Croatia2014,,,0.3244828845161209,0.675517115483879,,
Croatia,High income,2015,,,,25578,52269,77847,,,,,Croatia2015,,,0.32856757485837607,0.6714324251416239,,
Croatia,High income,2016,,,,25655,51840,77495,,,,,Croatia2016,,,0.331053616362346,0.668946383637654,,
Croatia,High income,2017,,,,26529,52667,79196,,,,,Croatia2017,,,0.3349790393454215,0.6650209606545785,,
Croatia,High income,2018,,,,27715,54387,82102,,,,,Croatia2018,,,0.3375679033397481,0.6624320966602519,,
Denmark,High income,,,,,,,,,,,,Denmark,,,,,,
Denmark,High income,2014,3715,16556,20271,11369,20919,32288,1055,6111,7166,,Denmark2014,0.18326673573084704,0.8167332642691529,0.35211223984142714,0.6478877601585729,0.14722299748813844,0.8527770025118616
Denmark,High income,2015,5423,21724,27147,13240,22204,35444,1159,6026,7185,,Denmark2015,0.19976424650974325,0.8002357534902568,0.37354700372418465,0.6264529962758154,0.16130828114126652,0.8386917188587335
Denmark,High income,2016,6286,24924,31210,13099,22103,35202,1167,6106,7273,,Denmark2016,0.20140980454982377,0.7985901954501762,0.37210953923072554,0.6278904607692745,0.16045648288189193,0.839543517118108
Denmark,High income,2017,7154,28250,35404,12482,2071,14553,1229,6678,7907,,Denmark2017,0.20206756298723308,0.797932437012767,0.8576925719782863,0.14230742802171373,0.1554318957885418,0.8445681042114582
Denmark,High income,2018,7380,28550,35930,13236,21944,35180,1222,6040,7262,,Denmark2018,0.20539938769830227,0.7946006123016978,0.37623649801023307,0.6237635019897669,0.16827320297438722,0.8317267970256128
Dominica,Upper middle income,,,,,,,,,,,,Dominica,,,,,,
Dominica,Upper middle income,2014,157,387,544,,,,,,,,Dominica2014,0.28860294117647056,0.7113970588235294,,,,
Dominica,Upper middle income,2015,125,330,455,,,,,,,,Dominica2015,0.27472527472527475,0.7252747252747253,,,,
Dominica,Upper middle income,2016,110,320,430,,,,,,,,Dominica2016,0.2558139534883721,0.7441860465116279,,,,
Dominica,Upper middle income,2017,,,,,,,,,,,Dominica2017,,,,,,
Dominica,Upper middle income,2018,,,,,,,,,,,Dominica2018,,,,,,
Estonia,High income,,,,,,,,,,,,Estonia,,,,,,
Estonia,High income,2014,6491,14596,21087,1419,1358,2777,5016,10845,15861,,Estonia2014,0.3078199838763219,0.6921800161236781,0.5109830752610731,0.4890169247389269,0.3162473992812559,0.6837526007187441
Estonia,High income,2015,6588,15467,22055,1285,1315,2600,5349,11738,17087,,Estonia2015,0.2987077760145092,0.7012922239854908,0.49423076923076925,0.5057692307692307,0.3130450049745421,0.686954995025458
Estonia,High income,2016,7137,15834,22971,1070,1082,2152,6034,13025,19059,,Estonia2016,0.31069609507640067,0.6893039049235993,0.4972118959107807,0.5027881040892194,0.31659583398919144,0.6834041660108086
Estonia,High income,2017,7158,16515,23673,1011,1098,2109,6568,14352,20920,,Estonia2017,0.3023697883664935,0.6976302116335066,0.4793741109530583,0.5206258890469416,0.3139579349904398,0.6860420650095602
Estonia,High income,2018,6593,16453,23046,988,1170,2158,6849,15778,22627,,Estonia2018,0.28608001388527293,0.7139199861147271,0.4578313253012048,0.5421686746987951,0.3026914747867592,0.6973085252132408
Ethiopia,Low income,,,,,,,,,,,,Ethiopia,,,,,,
Ethiopia,Low income,2014,,,,,,,,,,,Ethiopia2014,,,,,,
Ethiopia,Low income,2015,,,,,,,,,,,Ethiopia2015,,,,,,
Ethiopia,Low income,2016,,,,,,,,,,,Ethiopia2016,,,,,,
Ethiopia,Low income,2017,,,,78300,145048,223348,,,,,Ethiopia2017,,,0.35057399215573903,0.649426007844261,,
Ethiopia,Low income,2018,,,,68092,120096,188188,,,,,Ethiopia2018,,,0.36182965970200015,0.6381703402979999,,
France,High income,,,,,,,,,,,,France,,,,,,
France,High income,2014,,,,147379,235857,383236,,,,,France2014,,,0.38456460249037144,0.6154353975096285,,
France,High income,2015,,,,139191,212078,351269,,,,,France2015,,,0.3962518753433978,0.6037481246566022,,
France,High income,2016,,,,143464,219709,363173,,,,,France2016,,,0.3950293661698419,0.604970633830158,,
France,High income,2017,,,,157142,236226,393368,,,,,France2017,,,0.3994783510605845,0.6005216489394155,,
France,High income,2018,,,,190321,299874,490195,,,,,France2018,,,0.38825569416252714,0.6117443058374729,,
Georgia,Upper middle income,,,,,,,,,,,,Georgia,,,,,,
Georgia,Upper middle income,2014,5799,16411,22210,10734,16159,26893,2812,8409,11221,,Georgia2014,0.2610986042323278,0.7389013957676722,0.3991373219796973,0.6008626780203027,0.2506015506639337,0.7493984493360663
Georgia,Upper middle income,2015,6077,16517,22594,10059,14076,24135,2877,7856,10733,,Georgia2015,0.2689652120031867,0.7310347879968133,0.416780609073959,0.583219390926041,0.2680518028510202,0.7319481971489797
Georgia,Upper middle income,2016,6747,18435,25182,9616,13156,22772,3046,8727,11773,,Georgia2016,0.2679294734334048,0.7320705265665952,0.42227296680133497,0.577727033198665,0.25872759704408393,0.7412724029559161
Georgia,Upper middle income,2017,7931,20280,28211,10626,12751,23377,3808,9990,13798,,Georgia2017,0.28113147353869056,0.7188685264613094,0.4545493433716901,0.5454506566283098,0.27598202638063485,0.7240179736193652
Georgia,Upper middle income,2018,7218,19546,26764,10112,13793,23905,4408,11644,16052,,Georgia2018,0.2696906292034076,0.7303093707965924,0.4230077389667434,0.5769922610332566,0.27460752554198853,0.7253924744580115
Germany,High income,,,,,,,,,,,,Germany,,,,,,
Germany,High income,2014,13368,75548,88916,167883,310776,478659,,,,,Germany2014,0.1503441450357641,0.8496558549642359,0.3507361190325472,0.6492638809674528,,
Germany,High income,2015,13833,78548,92381,162541,299204,461745,,,,,Germany2015,0.14973858260897804,0.850261417391022,0.3520146401152151,0.6479853598847849,,
Germany,High income,2016,13791,80100,93891,156216,285078,441294,,,,,Germany2016,0.14688308783589482,0.8531169121641052,0.35399529565323795,0.646004704346762,,
Germany,High income,2017,14127,81522,95649,154200,281454,435654,,,,,Germany2017,0.1476962644669573,0.8523037355330427,0.35395061218306273,0.6460493878169373,,
Germany,High income,2018,14408,84613,99021,150796,280324,431120,,,,,Germany2018,0.14550448894678905,0.854495511053211,0.3497773241788829,0.650222675821117,,
Guinea,Low income,,,,,,,,,,,,Guinea,,,,,,
Guinea,Low income,2014,96,698,794,487,1658,2145,,,,,Guinea2014,0.12090680100755667,0.8790931989924433,0.22703962703962705,0.772960372960373,,
Guinea,Low income,2015,171,1284,1455,538,2734,3272,,,,,Guinea2015,0.11752577319587629,0.8824742268041237,0.16442542787286063,0.8355745721271394,,
